iter	Passed	Remaining
404	8803	12933
405	8823	12909
406	8854	12900
407	8874	12876
408	8892	12849
409	8910	12823
410	8935	12805
411	8955	12781
412	8980	12764
413	9001	12740
414	9025	12722
415	9047	12701
416	9070	12680
417	9090	12656
418	9110	12632
419	9132	12610
420	9152	12587
421	9178	12571
422	9202	12552
423	9225	12532
424	9251	12517
425	9278	12501
426	9301	12481
427	9324	12461
428	9349	12444
429	9375	12427
430	9398	12407
431	9423	12390
432	9443	12366
433	9471	12351
434	9493	12330
435	9521	12317
436	9542	12294
437	9569	12278
438	9589	12253
439	9613	12235
440	9633	12211
441	9654	12188
442	9673	12163
443	9698	12145
444	9721	12124
445	9747	12107
446	9767	12083
447	9790	12063
448	9813	12042
449	9835	12021
450	9856	11998
451	9879	11977
452	9899	11954
453	9925	11937
454	9945	11913
455	9970	11895
456	9990	11871
457	10015	11852
458	10038	11831
459	10060	11809
460	10079	11784
461	10101	11763
462	10120	11738
463	10146	11720
464	10166	11696
465	10191	11679
466	10211	11654
467	10235	11634
468	10256	11612
469	10278	11591
470	10298	11566
471	10317	11541
472	10336	11516
473	10358	11494
474	10376	11469
475	10400	11449
476	10420	11425
477	10442	11403
478	10462	11379
479	10483	11357
480	10504	11334
481	10527	11313
482	10546	11288
483	10566	11264
484	10588	11243
485	10609	11220
486	10630	11197
487	10651	11174
488	10673	11153
489	10701	11137
490	10725	11118
491	10749	11098
492	10773	11079
493	10800	11062
494	10820	11039
495	10844	11019
496	10865	10996
497	10887	10975
498	10909	10953
499	10932	10932
500	10951	10907
501	10982	10894
502	11000	10869
503	11021	10846
504	11039	10820
505	11065	10803
506	11087	10780
507	11109	10759
508	11130	10737
509	11151	10714
510	11173	10692
511	11200	10675
512	11221	10653
513	11250	10637
514	11271	10614
515	11293	10592
516	11314	10570
517	11342	10554
518	11362	10530
519	11388	10512
520	11409	10489
521	11434	10471
522	11455	10448
523	11478	10427
524	11501	10405
525	11526	10387
526	11546	10363
527	11568	10341
528	11588	10317
529	11613	10299
530	11634	10276
531	11658	10256
532	11679	10232
533	11713	10221
534	11736	10200
535	11760	10180
536	11780	10157
537	11799	10132
538	11821	10110
539	11841	10087
540	11864	10065
541	11883	10041
542	11908	10022
543	11930	10000
544	11952	9978
545	11973	9956
546	11996	9934
547	12016	9911
548	12038	9889
549	12057	9865
550	12078	9842
551	12105	9824
552	12125	9801
553	12145	9777
554	12168	9756
555	12188	9732
556	12209	9710
557	12229	9687
558	12253	9666
559	12274	9644
560	12294	9621
561	12314	9597
562	12337	9576
563	12358	9553
564	12383	9534
565	12402	9510
566	12424	9488
567	12444	9464
568	12470	9446
569	12490	9422
570	12510	9399
571	12531	9376
572	12551	9353
573	12571	9330
574	12600	9313
575	12620	9290
576	12640	9267
577	12662	9244
578	12690	9227
579	12715	9207
580	12741	9188
581	12764	9167
582	12789	9148
583	12810	9125
584	12835	9105
585	12855	9082
586	12878	9061
587	12900	9039
588	12930	9022
589	12950	8999
590	12974	8978
591	12993	8955
592	13014	8932
593	13036	8910
594	13056	8887
595	13080	8866
596	13102	8844
597	13128	8825
598	13151	8803
599	13177	8784
600	13197	8761
601	13224	8743
602	13246	8721
603	13271	8701
604	13294	8679
605	13321	8661
606	13341	8638
607	13367	8618
608	13388	8595
609	13410	8573
610	13433	8552
611	13456	8531
612	13478	8509
613	13503	8489
614	13523	8466
615	13550	8447
616	13573	8425
617	13593	8402
618	13615	8380
619	13638	8358
620	13658	8335
621	13683	8315
622	13707	8295
623	13739	8278
624	13761	8256
625	13789	8238
626	13810	8215
627	13836	8196
628	13857	8173
629	13883	8153
630	13906	8132
631	13936	8114
632	13956	8091
633	13980	8070
634	14001	8048
635	14023	8026
636	14046	8004
637	14073	7985
638	14095	7963
639	14119	7942
640	14140	7919
641	14160	7896
642	14181	7873
643	14200	7849
644	14219	7826
645	14237	7802
646	14258	7779
647	14280	7757
648	14308	7738
649	14333	7717
650	14365	7701
651	14388	7679
652	14413	7659
653	14433	7636
654	14458	7615
655	14480	7593
656	14501	7570
657	14524	7549
658	14545	7526
659	14567	7504
660	14588	7482
661	14610	7459
